,transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age
8052,8269,37,753,7/15/2017,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,35560.0,Josy,St. Quentin,Female,82.0,1970-03-07,Food Chemist,Health,Affluent Customer,Y,Yes,6.0,50.0
8054,8271,67,3183,3/24/2017,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0,Craig,Phethean,Male,64.0,1974-06-19,Junior Executive,Health,Mass Customer,N,No,14.0,46.0
8055,8272,55,3060,7/19/2017,0.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,33259.0,Milton,Gorini,Male,28.0,1982-09-14,VP Accounting,Financial Services,Mass Customer,N,Yes,6.0,37.0
8056,8273,5,3047,1/9/2017,1.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,40784.0,Eddy,Cossans,Male,20.0,1962-01-14,Speech Pathologist,Retail,Mass Customer,N,Yes,19.0,58.0
8057,8274,77,1787,11/19/2017,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,34071.0,Tull,Godehard.sf,Male,2.0,1976-11-21,Executive Secretary,Retail,High Net Worth,N,Yes,13.0,43.0
8058,8275,71,1259,4/27/2017,0.0,Approved,Solex,Standard,high,large,1842.92,1105.75,34996.0,Emmi,Dymock,Female,23.0,1973-11-24,Assistant Professor,Financial Services,Mass Customer,N,No,9.0,46.0
8059,8276,18,3497,9/1/2017,1.0,Approved,Solex,Standard,medium,medium,575.27,431.45,35160.0,Thia,O'Day,Female,73.0,1986-05-03,Administrative Assistant IV,Manufacturing,Affluent Customer,N,Yes,18.0,34.0
8060,8277,9,524,5/24/2017,1.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,33549.0,Florence,Held,Female,16.0,1962-09-09,Nurse,Retail,Mass Customer,N,No,11.0,57.0
8061,8278,94,2836,3/24/2017,0.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434.0,Matilda,Yellowley,Female,80.0,1963-11-14,Clinical Specialist,Health,Mass Customer,N,No,16.0,56.0
8062,8279,2,2467,10/18/2017,1.0,Approved,Solex,Standard,medium,medium,71.49,53.62,41167.0,Ynez,Fawloe,Female,71.0,1975-07-15,Engineer III,Manufacturing,Affluent Customer,N,Yes,4.0,44.0
8063,8280,0,2086,3/21/2017,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0,Gayle,Cockerell,Male,68.0,1997-01-03,Senior Cost Accountant,Financial Services,High Net Worth,N,No,1.0,23.0
8066,8283,93,53,1/7/2017,1.0,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,36833.0,Agnella,Gocke,Female,22.0,1954-04-18,Software Test Engineer II,Financial Services,Mass Customer,N,No,16.0,66.0
8067,8284,14,2336,1/28/2017,0.0,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,37838.0,Karney,Labrone,Male,59.0,1978-01-19,Dental Hygienist,Health,Affluent Customer,N,No,17.0,42.0
8068,8285,97,544,1/9/2017,1.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,38216.0,Giacomo,Johanning,Male,51.0,1990-10-12,Structural Engineer,Manufacturing,High Net Worth,N,Yes,5.0,29.0
8071,8288,46,847,9/7/2017,0.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361.0,Kelci,Morrison,Female,66.0,1991-05-26,Chief Design Engineer,Retail,High Net Worth,N,No,9.0,29.0
8072,8289,0,656,11/3/2017,0.0,Approved,Norco Bicycles,Road,medium,medium,543.39,407.54,33552.0,Marty,Lebreton,Female,80.0,1978-11-17,Automation Specialist III,Manufacturing,High Net Worth,N,Yes,8.0,41.0
8074,8291,48,1593,6/24/2017,1.0,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,41848.0,Tommy,Kupisz,Female,69.0,1979-10-11,Tax Accountant,IT,Mass Customer,N,No,17.0,40.0
8076,8293,91,177,6/1/2017,1.0,Cancelled,WeareA2B,Standard,low,medium,642.31,513.85,41922.0,Ondrea,Pablos,Female,25.0,1989-11-09,Professor,Financial Services,High Net Worth,N,No,4.0,30.0
8077,8294,10,2997,2/26/2017,1.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,41701.0,Jo-ann,Carlile,Female,57.0,1973-05-17,Computer Systems Analyst II,Health,Affluent Customer,N,No,10.0,47.0
8079,8296,38,2275,5/11/2017,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,38258.0,Ursulina,Carter,Female,77.0,1992-07-19,Human Resources Assistant II,Financial Services,High Net Worth,N,Yes,8.0,27.0
8080,8297,78,1722,12/26/2017,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193.0,Fritz,Geare,Male,52.0,1963-07-17,Cost Accountant,Financial Services,Mass Customer,N,No,4.0,56.0
8081,8299,84,115,10/20/2017,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38339.0,Alberik,Mereweather,Male,77.0,1981-12-21,Account Executive,Health,Mass Customer,N,No,18.0,38.0
8083,8301,72,1450,11/18/2017,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710.0,Floris,Dunkerley,Female,23.0,1964-01-24,Statistician I,Manufacturing,Affluent Customer,N,No,6.0,56.0
8086,8304,3,2309,4/2/2017,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41167.0,Herc,McIlhone,Male,40.0,1985-01-13,Accounting Assistant I,Manufacturing,Affluent Customer,N,No,14.0,35.0
8087,8305,7,465,8/2/2017,1.0,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,38258.0,Alina,Wilsey,Female,54.0,1976-03-27,Developer III,Financial Services,Affluent Customer,N,Yes,14.0,44.0
8088,8306,70,2730,12/9/2017,0.0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,42105.0,Taddeo,Karlicek,Male,15.0,1960-11-27,Senior Financial Analyst,Financial Services,Mass Customer,N,No,11.0,59.0
8090,8308,92,1767,12/26/2017,1.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,37874.0,Cicely,Millier,Female,28.0,1959-03-10,Software Engineer IV,Manufacturing,Affluent Customer,N,Yes,19.0,61.0
8093,8311,98,469,5/9/2017,1.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,35470.0,Levi,Cartmell,Male,91.0,1996-05-03,Actuary,Financial Services,High Net Worth,N,Yes,3.0,24.0
8094,8312,23,717,12/16/2017,0.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,34115.0,Basilius,Spieck,Male,65.0,1976-11-20,VP Product Management,Manufacturing,Mass Customer,N,Yes,11.0,43.0
8099,8317,64,498,8/23/2017,1.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,40487.0,Emmalee,Sketcher,Female,58.0,1978-04-30,VP Sales,Manufacturing,High Net Worth,N,Yes,10.0,42.0
8100,8318,77,1377,10/16/2017,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,38193.0,Giacomo,Roseburgh,Male,86.0,1989-05-11,Mechanical Systems Engineer,Retail,Mass Customer,N,Yes,2.0,31.0
8101,8319,1,1648,5/13/2017,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688.0,Prissie,Dyde,Female,22.0,1981-06-09,VP Accounting,Financial Services,Mass Customer,N,No,8.0,39.0
8104,8323,49,3078,7/14/2017,1.0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,41064.0,Mariel,Blacksell,Female,54.0,1982-08-16,Safety Technician III,Retail,Mass Customer,N,No,7.0,37.0
8105,8324,3,2848,9/8/2017,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37659.0,Callie,Garthshore,Female,42.0,1967-01-17,Analyst Programmer,Property,Mass Customer,N,Yes,13.0,53.0
8106,8325,31,3371,5/4/2017,1.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,39031.0,Josey,Alves,Female,56.0,1977-10-30,Analyst Programmer,Retail,Mass Customer,N,No,17.0,42.0
8108,8327,98,235,6/12/2017,0.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,38002.0,Leona,Phateplace,Female,30.0,1976-12-26,Social Worker,Health,Mass Customer,N,No,15.0,43.0
8109,8328,84,2634,1/25/2017,1.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879.0,Silvester,Scowcroft,Male,85.0,1980-07-14,Quality Engineer,Financial Services,High Net Worth,N,No,15.0,39.0
8111,8331,33,3029,5/19/2017,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,Timmie,Gori,Male,85.0,1978-07-17,Business Systems Development Analyst,Manufacturing,Mass Customer,N,No,13.0,41.0
8113,8333,29,3217,2/22/2017,0.0,Approved,Norco Bicycles,Road,medium,medium,543.39,407.54,42696.0,Lorena,Titterrell,Female,95.0,1968-03-12,Physical Therapy Assistant,Manufacturing,Mass Customer,N,No,8.0,52.0
8114,8334,11,3084,7/18/2017,1.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,39298.0,Birgit,Dowers,Female,57.0,1959-07-16,Staff Scientist,Financial Services,Affluent Customer,N,Yes,16.0,60.0
8115,8335,0,687,3/23/2017,0.0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,38193.0,Welby,Ninnotti,Male,25.0,1959-02-10,Executive Secretary,Retail,High Net Worth,N,Yes,5.0,61.0
8116,8336,0,2492,11/19/2017,0.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,38482.0,Gayelord,Lipman,Male,35.0,1974-02-01,Design Engineer,Manufacturing,High Net Worth,N,No,9.0,46.0
8118,8338,58,3152,12/5/2017,0.0,Approved,OHM Cycles,Road,medium,medium,1280.28,829.51,35707.0,Lettie,McGenis,Female,6.0,1999-06-07,Teacher,Financial Services,High Net Worth,N,Yes,3.0,21.0
8121,8341,53,2360,6/23/2017,1.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,37838.0,Karleen,McGenn,Female,0.0,1974-11-03,VP Accounting,Financial Services,High Net Worth,N,Yes,5.0,45.0
8122,8342,77,1984,10/10/2017,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,34556.0,Hewett,Alessandretti,Male,70.0,1999-06-01,Information Systems Manager,Health,Mass Customer,N,Yes,1.0,21.0
8124,8344,3,2076,2/10/2017,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37499.0,Beatriz,Tweddle,Female,73.0,1969-06-03,Assistant Manager,Manufacturing,Mass Customer,N,Yes,5.0,51.0
8126,8346,4,2282,12/16/2017,1.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,40784.0,Dominic,Gregoletti,Male,81.0,1957-02-25,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,7.0,63.0
8129,8349,43,2181,11/9/2017,1.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,36498.0,Tobe,Roxby,Male,99.0,1974-07-17,Account Executive,IT,Mass Customer,N,Yes,8.0,45.0
8130,8350,99,90,3/9/2017,1.0,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,34556.0,Cary,Garron,Male,76.0,1984-11-12,Quality Control Specialist,Manufacturing,Mass Customer,N,No,11.0,35.0
8132,8352,99,3262,12/29/2017,1.0,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,34556.0,Maynord,L'Episcopi,Male,65.0,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,60.0
8133,8353,62,3339,10/28/2017,0.0,Approved,Solex,Standard,medium,medium,478.16,298.72,34143.0,Andrea,Rand,Male,76.0,1986-05-08,Programmer Analyst III,Health,Mass Customer,N,No,21.0,34.0
8135,8355,49,220,2/8/2017,0.0,Approved,Solex,Standard,medium,large,1061.56,733.58,34170.0,Jeniffer,Apark,Female,79.0,1954-05-10,Electrical Engineer,Manufacturing,High Net Worth,N,No,9.0,66.0
8136,8356,36,1839,6/25/2017,0.0,Approved,Solex,Standard,low,medium,1289.85,74.51,41064.0,Faythe,Rance,Female,60.0,1987-05-08,Internal Auditor,Entertainment,High Net Worth,N,Yes,5.0,33.0
8137,8357,53,3405,4/18/2017,1.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,33879.0,Gavra,Robez,Female,89.0,1996-08-18,Project Manager,Financial Services,Mass Customer,N,Yes,3.0,23.0
8139,8359,91,528,7/6/2017,1.0,Cancelled,Solex,Standard,medium,medium,100.35,75.26,36367.0,Gayel,Downs,Female,10.0,1979-06-06,Registered Nurse,Health,Mass Customer,N,No,4.0,41.0
8140,8360,29,777,7/4/2017,0.0,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,36833.0,Wolfgang,Tarrier,Male,2.0,1993-01-09,Paralegal,Financial Services,High Net Worth,N,No,4.0,27.0
8141,8361,98,2117,12/6/2017,1.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,38002.0,Llywellyn,Christall,Male,76.0,1995-06-14,Computer Systems Analyst I,Health,Affluent Customer,N,No,3.0,25.0
8142,8362,4,3194,2/26/2017,1.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38573.0,Hakeem,Bernardinelli,Male,38.0,1978-03-11,Physical Therapy Assistant,Manufacturing,Mass Customer,N,No,11.0,42.0
8143,8363,30,868,3/31/2017,1.0,Approved,Solex,Standard,high,medium,748.17,448.9,33888.0,Effie,Duddy,Female,84.0,1979-07-18,VP Accounting,Financial Services,Mass Customer,N,Yes,11.0,40.0
8146,8366,93,3080,6/30/2017,0.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,38750.0,Christoforo,Santus,Male,87.0,1958-10-06,Graphic Designer,Financial Services,High Net Worth,N,No,10.0,61.0
8147,8367,65,3368,12/1/2017,0.0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,42145.0,Tanya,Boddis,Female,7.0,1967-07-17,Technical Writer,Financial Services,Affluent Customer,N,No,16.0,52.0
8149,8369,94,3224,4/30/2017,1.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434.0,Darell,Mulqueeny,Female,67.0,1996-03-12,Automation Specialist III,Manufacturing,Affluent Customer,N,No,3.0,24.0
8150,8370,16,1450,5/8/2017,1.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34586.0,Floris,Dunkerley,Female,23.0,1964-01-24,Statistician I,Manufacturing,Affluent Customer,N,No,6.0,56.0
8153,8373,88,2476,2/14/2017,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34586.0,Hal,Braddon,Male,13.0,1956-09-25,Administrative Officer,Property,High Net Worth,N,No,17.0,63.0
8154,8374,18,2856,4/17/2017,1.0,Approved,Solex,Standard,medium,medium,575.27,431.45,35667.0,Milissent,Deinert,Female,53.0,1976-09-25,Marketing Manager,Financial Services,Mass Customer,N,Yes,13.0,43.0
8156,8376,90,2494,6/15/2017,1.0,Approved,Solex,Standard,low,medium,945.04,507.58,35052.0,Donella,Emm,Female,98.0,1974-08-08,Senior Sales Associate,Manufacturing,High Net Worth,N,No,16.0,45.0
8157,8377,17,1725,4/1/2017,1.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,37539.0,Corena,Postlewhite,Female,80.0,1979-07-19,Junior Executive,Manufacturing,High Net Worth,N,Yes,16.0,40.0
8158,8378,59,605,11/19/2017,1.0,Approved,Solex,Standard,medium,large,1061.56,733.58,36146.0,Bart,Creenan,Male,13.0,1972-03-26,Electrical Engineer,Manufacturing,Mass Customer,N,Yes,5.0,48.0
8159,8379,94,560,5/8/2017,0.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434.0,Dorree,Sanja,Female,1.0,1953-10-11,Social Worker,Health,Affluent Customer,N,No,8.0,66.0
8160,8380,25,3358,6/8/2017,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,37337.0,Fairlie,McGavin,Male,30.0,1973-09-17,Engineer I,Manufacturing,Affluent Customer,N,Yes,11.0,46.0
8161,8381,4,2183,6/1/2017,1.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,33549.0,Jillie,Fyndon,Female,61.0,1972-02-07,Programmer Analyst IV,Manufacturing,Mass Customer,N,Yes,7.0,48.0
8163,8383,65,1300,4/1/2017,0.0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,42710.0,Sisely,Strelitzer,Female,0.0,1991-03-10,Physical Therapy Assistant,Financial Services,Affluent Customer,N,Yes,9.0,29.0
8165,8385,33,630,2/22/2017,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,35560.0,D'arcy,Rowden,Male,90.0,1986-08-11,Statistician III,Property,Affluent Customer,N,Yes,17.0,33.0
8166,8386,1,3477,9/25/2017,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,38573.0,Jaquelin,Leek,Female,90.0,1996-01-24,Senior Developer,Financial Services,Affluent Customer,N,Yes,7.0,24.0
8167,8387,42,2235,4/24/2017,0.0,Approved,OHM Cycles,Road,medium,small,1810.0,1610.9,39526.0,Maxine,Cauldwell,Female,75.0,1979-10-02,Social Worker,Health,Affluent Customer,N,No,16.0,40.0
8168,8388,86,88,9/12/2017,1.0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,40336.0,Malynda,Tumber,Female,41.0,1966-02-03,Help Desk Operator,Property,High Net Worth,N,Yes,7.0,54.0
8169,8389,97,1003,11/13/2017,1.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,33549.0,Mariann,O'Geaney,Female,35.0,1968-02-03,Paralegal,Financial Services,High Net Worth,N,No,18.0,52.0
8170,8390,94,1321,5/31/2017,0.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434.0,Bree,Domenge,Female,29.0,1994-07-05,Editor,Argiculture,Affluent Customer,N,No,8.0,25.0
8172,8392,36,2113,3/25/2017,0.0,Approved,Solex,Standard,low,medium,945.04,507.58,35052.0,Nita,Bushell,Female,91.0,1972-01-06,Internal Auditor,Manufacturing,Affluent Customer,N,No,17.0,48.0
8173,8393,84,264,8/22/2017,0.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38339.0,Jedd,Spiby,Male,31.0,1977-12-07,Technical Writer,Health,Mass Customer,N,No,11.0,42.0
8174,8394,39,3046,5/16/2017,0.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,40336.0,Shela,Ridgers,Female,53.0,1964-06-07,Programmer Analyst III,Manufacturing,Affluent Customer,N,No,18.0,56.0
8175,8395,3,2938,5/26/2017,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,42145.0,Richardo,Cocher,Male,79.0,2000-02-21,Assistant Manager,Argiculture,Affluent Customer,N,No,2.0,20.0
8176,8396,11,855,2/20/2017,0.0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,42560.0,Bennie,Llywarch,Female,74.0,1974-10-26,General Manager,Retail,High Net Worth,N,Yes,16.0,45.0
8177,8397,0,2003,5/25/2017,0.0,Approved,Solex,Standard,medium,medium,100.35,75.26,37626.0,Lilli,Hargey,Female,80.0,1962-06-21,Statistician III,Manufacturing,High Net Worth,N,Yes,8.0,58.0
8178,8398,13,428,7/11/2017,0.0,Approved,Solex,Standard,medium,medium,1577.53,826.51,39427.0,Freida,Everil,Female,0.0,1977-05-03,Structural Engineer,Health,High Net Worth,N,Yes,14.0,43.0
8179,8399,71,51,11/5/2017,0.0,Approved,Solex,Standard,high,large,1842.92,1105.75,34996.0,Fidelio,Dilke,Male,68.0,1959-12-05,Computer Systems Analyst II,Retail,Mass Customer,N,No,18.0,60.0
8180,8400,84,2752,5/10/2017,0.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38339.0,Cissiee,Jobern,Female,11.0,1960-05-10,Sales Representative,Retail,Affluent Customer,N,Yes,14.0,60.0
8181,8401,63,438,1/9/2017,0.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,33552.0,Ebenezer,Bottelstone,Male,25.0,1989-08-17,Internal Auditor,Property,High Net Worth,N,Yes,13.0,30.0
8182,8402,81,3031,4/14/2017,1.0,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,36145.0,Diego,Bertelmot,Male,95.0,1996-02-02,Staff Scientist,Health,Mass Customer,N,Yes,5.0,24.0
8183,8403,11,2220,10/6/2017,1.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,38216.0,Curr,Jancey,Male,35.0,1959-05-13,Legal Assistant,Financial Services,Mass Customer,N,Yes,13.0,61.0
8184,8404,96,122,12/22/2017,1.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,34556.0,Colver,Itter,Male,87.0,1979-04-19,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,12.0,41.0
8185,8405,9,1485,12/21/2017,1.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,38216.0,Meredeth,Luck,Male,50.0,1969-08-02,Food Chemist,Health,Mass Customer,N,Yes,6.0,50.0
8186,8407,99,1420,10/14/2017,1.0,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,34556.0,Minni,Hanner,Female,14.0,1959-10-12,Dental Hygienist,Health,Mass Customer,N,No,11.0,60.0
8188,8409,55,796,5/22/2017,1.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,37823.0,Ira,Lamlin,Female,8.0,1997-05-27,Financial Analyst,Financial Services,Mass Customer,N,No,2.0,23.0
8189,8410,25,2366,11/2/2017,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,33455.0,Idette,Mapam,Female,51.0,1975-06-15,Web Designer I,Health,Mass Customer,N,Yes,15.0,45.0
8190,8411,89,3394,5/25/2017,0.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,34079.0,Barde,Spoward,Male,39.0,1974-06-26,Environmental Specialist,Health,Mass Customer,N,No,22.0,46.0
8191,8412,88,429,1/11/2017,1.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,35160.0,Berny,Bold,Female,7.0,1978-07-30,Community Outreach Specialist,IT,High Net Worth,N,Yes,21.0,41.0
8192,8413,56,1312,4/25/2017,0.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,35707.0,Magda,Baugh,Female,96.0,1994-07-16,Food Chemist,Health,Affluent Customer,N,No,8.0,25.0
8193,8414,39,3300,6/11/2017,0.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,40336.0,Quintus,Gouldthorpe,Male,47.0,1961-05-22,Executive Secretary,Retail,Mass Customer,N,No,14.0,59.0
8197,8418,55,509,7/27/2017,1.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,37823.0,Tobe,Vamplew,Male,64.0,1979-08-06,Developer II,Financial Services,Affluent Customer,N,Yes,21.0,40.0
8198,8419,20,1192,1/3/2017,1.0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,40303.0,Hollyanne,McCarter,Female,31.0,1969-12-12,VP Quality Control,Manufacturing,Mass Customer,N,No,16.0,50.0
8200,8421,64,2001,9/2/2017,1.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,41922.0,Mada,Martinho,Female,21.0,1977-10-06,Analog Circuit Design manager,Manufacturing,Mass Customer,N,Yes,3.0,42.0
8201,8422,19,28,7/21/2017,1.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,34244.0,Fee,Zellmer,Male,5.0,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21.0,46.0
8202,8423,15,201,7/13/2017,0.0,Cancelled,Norco Bicycles,Standard,low,medium,958.74,748.9,41345.0,Salem,Huie,Male,45.0,1966-04-20,Design Engineer,Manufacturing,Mass Customer,N,Yes,11.0,54.0
8203,8425,59,1013,2/2/2017,1.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,37626.0,Corissa,Zienkiewicz,Female,53.0,1976-09-06,Physical Therapy Assistant,Retail,High Net Worth,N,No,17.0,43.0
8206,8428,97,639,12/22/2017,1.0,Approved,Solex,Standard,medium,large,202.62,151.96,42458.0,Mayor,Ismay,Male,51.0,1974-06-03,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,16.0,46.0
8207,8429,89,1661,4/12/2017,1.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,34079.0,Meggy,Delgadillo,Female,21.0,1979-06-02,Administrative Assistant IV,Health,Affluent Customer,N,No,10.0,41.0
8208,8430,50,2908,2/12/2017,1.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,37668.0,Tiffy,Feenan,Female,42.0,1955-09-21,Social Worker,Health,Affluent Customer,N,Yes,11.0,64.0
8209,8431,45,2117,5/6/2017,1.0,Approved,Solex,Standard,medium,medium,441.49,84.99,34071.0,Llywellyn,Christall,Male,76.0,1995-06-14,Computer Systems Analyst I,Health,Affluent Customer,N,No,3.0,25.0
8210,8432,61,3332,1/22/2017,0.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172.0,Cissy,Jeffress,Female,43.0,1998-09-24,Account Representative III,Health,Mass Customer,N,No,3.0,21.0
8211,8433,40,2048,2/25/2017,0.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,37823.0,Sorcha,Genthner,Female,22.0,1960-04-13,Financial Advisor,Financial Services,High Net Worth,N,No,13.0,60.0
8212,8434,77,3069,3/15/2017,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,40553.0,Phylis,Traves,Female,59.0,1988-08-12,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,12.0,31.0
8215,8437,93,2883,11/11/2017,1.0,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,41434.0,Ulick,Bruty,Male,84.0,1995-05-19,Paralegal,Financial Services,Mass Customer,N,Yes,2.0,25.0
8217,8439,64,2254,12/27/2017,1.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,41047.0,Ann,Beek,Female,36.0,1955-10-21,Programmer Analyst II,Health,Affluent Customer,N,No,18.0,64.0
8218,8440,46,3129,12/14/2017,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,42145.0,Leola,Mandrier,Female,44.0,1955-09-25,Analog Circuit Design manager,Property,High Net Worth,N,Yes,11.0,64.0
8219,8441,77,1290,8/7/2017,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,37220.0,Vassily,Ramalho,Male,49.0,1967-08-08,VP Marketing,Financial Services,High Net Worth,N,Yes,6.0,52.0
8220,8442,32,79,3/1/2017,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,37337.0,Tybi,Silliman,Female,76.0,1968-10-02,Account Executive,Manufacturing,Mass Customer,N,No,18.0,51.0
8223,8445,77,3442,5/24/2017,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,38193.0,Adrianne,Petrecz,Female,17.0,1962-05-22,Research Associate,Retail,Mass Customer,N,Yes,14.0,58.0
8225,8447,27,1850,7/4/2017,0.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527.0,Dare,Wasling,Male,4.0,1978-05-16,Biostatistician II,Manufacturing,High Net Worth,N,No,7.0,42.0
8226,8448,23,2887,2/12/2017,1.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,37874.0,Gardiner,Spehr,Male,42.0,1974-02-24,Speech Pathologist,Financial Services,High Net Worth,N,Yes,18.0,46.0
8227,8449,8,742,5/8/2017,0.0,Approved,Solex,Road,medium,small,1703.52,1516.13,40649.0,Dexter,Robelin,Male,55.0,1966-04-24,Senior Developer,Manufacturing,Mass Customer,N,No,15.0,54.0
